,sqft_living,sqft_lot,age,distance_from_city,distance_from_airport
1,0.9941822570912803,0.048130225141882844,0.6511508238103052,-0.5025922797977407,1.0779726633484008
3,0.10156394781785102,-0.6195096610079862,0.1830175521086654,-0.6999138283788507,-1.0671183145830414
4,-0.3081624892256903,0.29767626644143247,-0.5526204462796256,0.40137378612641367,0.6862645581424736
6,-0.2569466845952476,-0.07783394606302108,-0.820125172966277,1.5277864565768664,-0.63460522260798
8,-0.16183161885299696,0.1160258067842424,0.35020800628782245,-0.697985884992028,-1.3802538636796462
9,-0.000867661443034299,-0.1549609445076313,-1.0876298996529281,1.7180875284093486,0.12181507980334705
11,-1.0690830151636956,-0.3217220222257074,0.9520936413327878,-0.7938672857938245,0.7041644844241053
13,-0.7617881873810396,0.7741364884930785,-0.2182395379213115,0.3999080385792241,0.6517563917954553
14,-0.11793235774118896,-0.664177806825328,2.3564934564377067,-0.9411886461403899,0.5641889589078356
15,1.5502395645075149,-0.6195096610079862,-0.2851157195929743,-1.250567752047224,-0.6085116431949517
16,-0.000867661443034299,2.0724905935838143,-0.7866870821304455,1.3079209804998937,2.1252900323780612
17,-0.4252271855238449,-0.8279610081555814,1.8214840030644046,-1.1229370022273266,0.42184456530070435
18,-1.0105506670146183,0.8247603870860659,1.6542935488852475,1.664976834264482,-0.47478626112347194
19,-0.9373852318282716,0.8021285265386128,0.04926518876533977,1.2648150630002923,-0.9423827771299462
20,-0.3959610114493063,-0.6254654137836317,0.7849031871536308,-0.7106428155146007,0.8693589743444174
22,0.5551896459732003,-0.23238573059102377,-0.820125172966277,1.5787482030115132,-0.48445582193619535
24,0.8185852126440483,-0.172828202834568,-0.48574426460796283,1.0929522890038232,-0.9094783585848898
25,-0.26426322811388225,-0.7097393155590167,0.9855317321686193,1.6928436993659064,-0.45555287721956644
27,-0.7178889262692316,-1.6376455980045974,2.0555506389152245,-1.5291225499150265,-0.10908664239211464
29,0.9941822570912803,0.02758287806590561,-1.154506081324591,0.24168329506104239,1.2703982071631585
30,0.628355081159547,-0.9232530525659106,-1.0876298996529281,0.35629960410262274,-0.05336988490078628
31,-1.0251837540518876,-1.7317464918597976,-1.154506081324591,-0.4281385874103398,1.181107929684277
32,0.6429881681968164,-0.6195096610079862,1.3867888221985962,-0.8980055654436564,0.6606691286675712
33,-1.1715146244245809,-1.2150849385725437,1.3867888221985962,-0.8133029128618368,0.7492048437006813
34,0.24789481819054435,-0.1254799682681857,-0.35199190126463714,0.6325473120540978,-1.064081301002674
35,0.5990889070850083,-1.1972176802456072,1.3533507313627648,-0.9081432630826328,0.616352369212954
37,0.6868874293086243,-0.3217220222257074,2.222741093094381,-1.0380309036365614,0.5091392234245218
38,-0.9812844929400796,0.2961873282475211,0.04926518876533977,1.2850082158134795,-0.9307850216340058
39,1.067347692277627,0.14074218080317155,-0.8535632638021083,-0.3159644606788802,-0.821343823299637
42,2.494073678411387,-0.42922335982611004,-1.4554488988470737,0.7584784458739943,1.4510375107620366
43,-0.46912644663565295,-1.4294920384957845,1.620855458049416,-1.3259974983775187,0.17203232054864745
44,-0.8934859707164635,0.7669895851623039,0.3836460971236539,0.36741038351162764,-1.224114370104234
