,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,zipcode,Age_of_House,Years_last_renovation,basement,distance_from_a_city,distance_from_airport
0,2014-12-09,538000.0,-0.40558607803110774,0.20967666935998824,0.6096371867524981,-0.1906327574948614,2.0,0.0,0.0,3,7,98125,0.684383789101612,-0.625762516435016,True,-0.2879537746490817,0.9580602992215714
1,2015-02-25,180000.0,-1.5434786890966785,-1.4874932365773503,-1.495270338581729,-0.12234613405782578,1.0,0.0,0.0,3,6,98028,1.2987207757016854,1.381171721614379,False,-0.1094646869097361,1.1917636830876404
2,2014-12-09,604000.0,0.7323065330344629,1.2279786129223915,-0.10369258572187888,-0.24614349344331454,1.0,0.0,0.0,5,7,98136,0.2065661328571105,0.27389765924229903,True,-0.4901867925803714,-1.1032187335387125
3,2015-02-18,510000.0,-0.40558607803110774,-0.1297573118274795,-0.4311226452183142,-0.16988432006185347,1.0,0.0,0.0,3,8,98074,-0.5442901840985348,-0.48735325863850604,False,-0.3821607865240113,0.5816568214530669
4,2014-05-12,1230000.0,0.7323065330344629,3.2645825000471977,3.942407435198358,2.1537921156037707,1.0,0.0,0.0,3,11,98053,-1.0221078403430364,-0.971785660926291,True,0.00532152508314077,1.1230348153369403
5,2014-06-27,257500.0,-0.40558607803110774,0.20967666935998824,-0.3901938877812598,-0.20110601409887374,2.0,0.0,0.0,3,7,98003,-0.8173288448096785,-0.764171774231526,False,1.7929624879342332,-0.6876045814796535
6,2015-01-15,291850.0,-0.40558607803110774,-0.8086252742024149,-1.1561463483889924,-0.12950162143030702,1.0,0.0,0.0,3,7,98198,0.27482579803489643,0.34310228814055405,False,0.6741841758737434,-1.8371297056855413
7,2015-04-15,229500.0,-0.40558607803110774,-1.4874932365773503,-0.3141833382553016,-0.1849875979068831,1.0,0.0,0.0,3,7,98146,0.3772152958015753,0.44690923148793654,True,-0.4882108613537951,-1.404119603667373
8,2015-03-12,323000.0,-0.40558607803110774,0.549110650547456,-0.18555010059598773,-0.20751871731504204,2.0,0.0,0.0,3,7,98038,-1.0903675055208222,-1.040990289824546,False,1.4485231139836279,0.03926123696606374
9,2014-05-27,468000.0,-1.5434786890966785,-1.4874932365773503,-1.0392070414259797,-0.22138402156621678,1.0,0.0,0.0,4,7,98115,0.9915522824016487,1.0697508915722316,True,-0.586478816308833,0.5988573705728358
10,2014-05-28,310000.0,-0.40558607803110774,-1.4874932365773503,-0.7234709126258457,0.12279739699731909,1.5,0.0,0.0,4,7,98028,1.5034997712350433,1.588785608309144,False,0.08529178451804889,1.4004184757848925
11,2014-10-07,400000.0,-0.40558607803110774,-0.4691912930149472,-0.7936344968036534,-0.13026916505849706,1.0,0.0,0.0,4,7,98074,-0.2029918582096051,-0.14133011414723098,False,-0.38403522071656737,0.5484969412979106
12,2015-03-12,530000.0,1.8701991441000336,-0.1297573118274795,-0.2791015461663978,-0.2498574142248792,1.5,0.0,0.0,3,7,98107,2.425005251135153,2.5230480984355865,False,-0.7374671068572538,0.46435090030437004
13,2015-01-24,650000.0,0.7323065330344629,1.2279786129223915,1.054006553211946,-0.24614349344331454,2.0,0.0,3.0,3,9,98126,-0.27125152338739106,-0.210534743045486,True,-1.0545468719529796,-0.6625305176347679
14,2014-07-31,395000.0,-0.40558607803110774,-0.1297573118274795,-0.18555010059598773,-0.02231786767435085,2.0,0.0,0.0,3,7,98019,-0.7831990122207855,-0.7295694597823985,False,0.6743164712970018,1.9644573964245517
15,2014-05-29,485000.0,0.7323065330344629,-1.4874932365773503,-0.5246740907887243,-0.263475123757283,1.5,0.0,0.0,4,7,98103,1.8789279297128658,1.9694110672495466,False,-0.9237393047992001,0.3275681172000847
16,2014-12-05,189000.0,-1.5434786890966785,-1.4874932365773503,-0.9924313186407748,-0.12606005483939045,1.0,0.0,0.0,4,7,98002,1.708278766768401,1.796399495003909,False,1.8287578251653607,-0.5340299882643962
17,2015-04-24,230000.0,-0.40558607803110774,-1.4874932365773503,-0.9339616651592685,-0.12794177470204987,1.0,0.0,0.0,4,7,98003,0.07004680250153864,0.13548840144578903,False,1.5234455551156811,-0.9833568019762151
